,date,total crashes,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,day_of_week
180,2021-06-30,3.0,20.7,11.9,16.7,20.7,11.9,16.7,13.3,81.2,0.0,0,0.0,,0.0,0.0,19.8,13.6,306.5,1017.4,65.2,10.7,303.4,26.2,9,2021-06-30T04:57:17,2021-06-30T21:30:39,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,4
181,2021-07-01,5.0,19.1,13.8,16.0,19.1,13.8,16.0,14.2,89.2,0.075,100,4.17,rain,0.0,0.0,21.6,19.5,267.5,1017.9,76.6,7.8,469.3,40.5,9,2021-07-01T04:57:57,2021-07-01T21:30:21,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,5
182,2021-07-02,4.0,20.2,13.1,16.7,20.2,13.1,16.7,13.4,82.0,0.0,0,0.0,,0.0,0.0,15.1,15.7,244.5,1016.2,80.5,10.2,501.4,43.3,7,2021-07-02T04:58:39,2021-07-02T21:29:59,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,6
183,2021-07-03,1.0,19.8,14.1,16.0,19.8,14.1,16.0,14.4,90.1,1.497,100,33.33,rain,0.0,0.0,33.1,17.1,182.5,1011.2,87.8,10.2,391.6,33.8,6,2021-07-03T04:59:24,2021-07-03T21:29:34,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,7
184,2021-07-04,1.0,18.1,13.8,15.5,18.1,13.8,15.5,14.0,90.9,5.154,100,33.33,rain,0.0,0.0,34.6,23.2,214.3,1006.5,88.1,11.8,357.6,31.0,7,2021-07-04T05:00:12,2021-07-04T21:29:06,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,8
185,2021-07-05,0.0,18.0,11.3,14.2,18.0,11.3,14.2,10.6,80.4,3.843,100,29.17,rain,0.0,0.0,32.0,21.6,185.4,1003.8,71.9,11.4,496.6,42.8,8,2021-07-05T05:01:01,2021-07-05T21:28:36,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,2
186,2021-07-06,2.0,16.9,10.3,14.0,16.9,10.3,14.0,11.0,83.2,5.318,100,33.33,rain,0.0,0.0,51.3,39.7,240.0,999.0,78.7,11.3,528.0,45.7,10,2021-07-06T05:01:54,2021-07-06T21:28:02,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,3
187,2021-07-07,2.0,18.0,13.2,15.1,18.0,13.2,15.1,13.3,89.5,4.327,100,37.5,rain,0.0,0.0,33.5,20.9,222.2,1010.3,80.2,11.3,434.8,37.4,7,2021-07-07T05:02:48,2021-07-07T21:27:25,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,4
188,2021-07-08,2.0,21.0,13.1,16.4,21.0,13.1,16.4,13.4,83.4,0.165,100,8.33,rain,0.0,0.0,23.4,21.5,247.4,1019.3,55.6,11.1,534.6,46.1,9,2021-07-08T05:03:45,2021-07-08T21:26:45,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,5
189,2021-07-09,1.0,18.2,12.9,15.3,18.2,12.9,15.3,12.0,81.5,0.0,0,0.0,,0.0,0.0,25.6,13.8,239.9,1021.1,81.9,13.5,494.5,42.8,7,2021-07-09T05:04:43,2021-07-09T21:26:03,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,6
190,2021-07-10,1.0,17.9,12.1,14.5,17.9,12.1,14.5,12.2,86.0,1.725,100,16.67,rain,0.0,0.0,16.9,10.8,181.7,1016.2,88.7,13.5,380.1,32.9,4,2021-07-10T05:05:44,2021-07-10T21:25:17,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,7
191,2021-07-11,3.0,16.0,11.9,13.7,16.0,11.9,13.7,12.6,93.3,4.979,100,16.67,rain,0.0,0.0,26.6,15.0,155.1,1014.5,75.3,11.1,332.3,28.5,5,2021-07-11T05:06:47,2021-07-11T21:24:29,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,8
192,2021-07-12,1.0,19.0,12.3,15.3,19.0,12.3,15.3,13.7,90.5,8.227,100,45.83,rain,0.0,0.0,20.5,20.3,34.3,1011.5,81.7,10.3,359.8,31.3,5,2021-07-12T05:07:52,2021-07-12T21:23:38,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,2
193,2021-07-13,2.0,20.8,14.1,17.5,20.8,14.1,17.5,15.0,85.7,0.354,100,8.33,rain,0.0,0.0,29.5,19.1,317.0,1015.9,77.0,11.8,384.3,33.2,8,2021-07-13T05:08:58,2021-07-13T21:22:44,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,3
194,2021-07-14,1.0,22.1,13.2,17.8,22.1,13.2,17.8,13.7,77.8,0.0,0,0.0,,0.0,0.0,27.0,18.6,307.4,1019.9,53.8,12.7,585.8,50.6,10,2021-07-14T05:10:07,2021-07-14T21:21:48,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,4
195,2021-07-15,4.0,22.0,13.0,18.3,22.0,13.0,18.3,13.8,76.3,0.0,0,0.0,,0.0,0.0,29.9,17.9,349.5,1023.4,56.3,12.6,512.2,44.2,8,2021-07-15T05:11:17,2021-07-15T21:20:48,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,5
196,2021-07-16,1.0,25.9,13.7,20.2,25.9,13.7,20.2,15.1,74.1,0.0,0,0.0,,0.0,0.0,28.4,17.9,1.9,1027.2,51.8,11.9,558.5,48.3,9,2021-07-16T05:12:29,2021-07-16T21:19:46,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,6
197,2021-07-17,0.0,27.0,16.8,22.2,27.6,16.8,22.3,15.4,66.2,0.0,0,0.0,,0.0,0.0,29.2,16.6,35.7,1028.6,42.4,13.9,572.5,49.3,9,2021-07-17T05:13:42,2021-07-17T21:18:42,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,7
198,2021-07-18,3.0,28.0,16.7,23.2,28.4,16.7,23.4,16.2,65.8,0.0,0,0.0,,0.0,0.0,16.6,12.0,358.5,1025.7,6.3,13.7,601.8,51.9,8,2021-07-18T05:14:57,2021-07-18T21:17:35,0.3,Clear,Clear conditions throughout the day.,clear-day,8
199,2021-07-19,4.0,28.2,17.6,23.6,28.9,17.6,23.8,16.5,65.7,0.0,0,0.0,,0.0,0.0,22.7,9.8,304.5,1021.6,9.8,12.6,558.4,48.3,8,2021-07-19T05:16:14,2021-07-19T21:16:25,0.33,Clear,Clear conditions throughout the day.,clear-day,2
200,2021-07-20,4.0,28.2,17.7,23.6,28.4,17.7,23.6,15.5,62.5,0.0,0,0.0,,0.0,0.0,27.0,18.9,264.2,1020.1,8.6,12.2,598.0,51.9,8,2021-07-20T05:17:31,2021-07-20T21:15:13,0.37,Clear,Clear conditions throughout the day.,clear-day,3
201,2021-07-21,3.0,28.1,17.6,23.3,28.5,17.6,23.3,15.5,63.7,0.0,0,0.0,,0.0,0.0,22.7,12.3,12.6,1022.5,11.4,11.9,593.4,51.3,8,2021-07-21T05:18:50,2021-07-21T21:13:59,0.41,Clear,Clear conditions throughout the day.,clear-day,4
202,2021-07-22,1.0,28.8,17.0,23.0,28.9,17.0,23.1,16.4,68.3,0.0,0,0.0,,0.0,0.0,20.9,14.3,107.5,1022.2,14.5,11.6,561.0,48.5,9,2021-07-22T05:20:11,2021-07-22T21:12:42,0.44,Clear,Clear conditions throughout the day.,clear-day,5
203,2021-07-23,1.0,25.7,15.3,20.8,25.7,15.3,20.8,14.6,68.9,0.0,0,0.0,,0.0,0.0,43.0,30.3,76.0,1015.9,28.3,12.1,551.4,47.7,7,2021-07-23T05:21:32,2021-07-23T21:11:23,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,6
204,2021-07-24,3.0,18.4,14.1,16.1,18.4,14.1,16.1,14.3,88.9,3.445,100,25.0,rain,0.0,0.0,46.0,34.6,44.2,1008.5,84.1,9.2,341.9,29.4,2,2021-07-24T05:22:55,2021-07-24T21:10:02,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,7
205,2021-07-25,2.0,20.9,15.1,17.2,20.9,15.1,17.2,14.6,84.8,1.008,100,33.33,rain,0.0,0.0,32.0,18.9,359.3,1008.7,80.9,10.5,450.2,39.0,6,2021-07-25T05:24:19,2021-07-25T21:08:38,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,8
206,2021-07-26,2.0,23.1,14.6,18.5,23.1,14.6,18.5,15.2,82.9,0.045,100,4.17,rain,0.0,0.0,28.1,23.4,258.2,1010.4,70.5,9.5,550.0,47.7,8,2021-07-26T05:25:43,2021-07-26T21:07:13,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,2
207,2021-07-27,3.0,19.1,15.2,17.2,19.1,15.2,17.2,15.1,87.8,6.794,100,41.67,rain,0.0,0.0,21.6,16.7,212.7,1008.0,69.6,11.5,459.0,39.8,6,2021-07-27T05:27:09,2021-07-27T21:05:45,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,3
208,2021-07-28,2.0,17.1,13.0,15.1,17.1,13.0,15.1,12.6,85.7,5.228,100,54.17,rain,0.0,0.0,50.7,32.3,249.4,1007.3,64.7,11.0,457.1,39.5,7,2021-07-28T05:28:36,2021-07-28T21:04:15,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,4
209,2021-07-29,5.0,19.0,11.2,14.9,19.0,11.2,14.9,10.8,77.4,0.145,100,4.17,rain,0.0,0.0,42.8,28.3,243.5,1009.7,73.0,12.0,600.0,51.6,10,2021-07-29T05:30:03,2021-07-29T21:02:44,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,5
210,2021-07-30,3.0,17.7,13.1,14.8,17.7,13.1,14.8,12.6,86.9,3.296,100,45.83,rain,0.0,0.0,54.5,35.7,233.8,1002.2,92.0,12.0,366.2,31.6,6,2021-07-30T05:31:31,2021-07-30T21:01:10,0.71,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,6
211,2021-07-31,5.0,18.0,13.2,15.5,18.0,13.2,15.5,12.9,85.0,2.96,100,20.83,rain,0.0,0.0,32.0,25.7,262.3,1010.0,73.0,13.3,469.3,40.3,8,2021-07-31T05:33:00,2021-07-31T20:59:34,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,7
212,2021-08-01,2.0,18.9,12.3,15.4,18.9,12.3,15.4,13.1,86.8,3.824,100,20.83,rain,0.0,0.0,16.9,14.1,275.3,1011.6,77.3,12.6,425.3,36.6,7,2021-08-01T05:34:30,2021-08-01T20:57:57,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,8
213,2021-08-02,4.0,17.8,11.3,14.2,17.8,11.3,14.2,12.3,88.7,2.279,100,29.17,rain,0.0,0.0,18.7,14.2,52.0,1014.2,82.5,10.6,369.3,32.0,4,2021-08-02T05:36:00,2021-08-02T20:56:18,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,2
214,2021-08-03,4.0,19.1,11.6,14.6,19.1,11.6,14.6,11.2,81.3,0.254,100,8.33,rain,0.0,0.0,17.6,11.0,347.5,1013.2,75.0,10.9,449.3,38.9,8,2021-08-03T05:37:31,2021-08-03T20:54:37,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,3
215,2021-08-04,2.0,20.3,12.6,16.4,20.3,12.6,16.4,11.5,73.9,0.0,0,0.0,,0.0,0.0,19.1,14.3,264.1,1012.6,73.6,12.5,459.8,40.0,6,2021-08-04T05:39:02,2021-08-04T20:52:54,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,4
216,2021-08-05,4.0,16.9,12.9,14.9,16.9,12.9,14.9,13.6,92.0,3.308,100,33.33,rain,0.0,0.0,45.4,33.6,162.8,1002.9,86.4,10.8,313.3,27.2,2,2021-08-05T05:40:34,2021-08-05T20:51:09,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,5
217,2021-08-06,1.0,18.2,13.1,15.7,18.2,13.1,15.7,12.9,84.0,5.405,100,37.5,rain,0.0,0.0,56.5,38.1,237.5,998.0,85.0,11.6,468.2,40.4,7,2021-08-06T05:42:06,2021-08-06T20:49:23,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,6
218,2021-08-07,5.0,16.3,12.0,14.4,16.3,12.0,14.4,12.4,87.9,2.142,100,25.0,rain,0.0,0.0,55.4,34.0,227.9,997.2,82.8,12.0,494.4,42.7,5,2021-08-07T05:43:39,2021-08-07T20:47:36,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,7
219,2021-08-08,2.0,17.0,13.0,14.5,17.0,13.0,14.5,11.9,84.7,5.574,100,50.0,rain,0.0,0.0,48.7,33.9,242.7,1005.3,86.6,11.4,425.0,36.6,7,2021-08-08T05:45:12,2021-08-08T20:45:47,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,8
220,2021-08-09,2.0,18.1,13.0,15.1,18.1,13.0,15.1,12.7,86.2,4.95,100,45.83,rain,0.0,0.0,35.3,25.6,234.0,1011.1,74.1,11.5,530.5,45.7,6,2021-08-09T05:46:45,2021-08-09T20:43:56,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,2
221,2021-08-10,1.0,20.1,12.0,15.6,20.1,12.0,15.6,12.6,83.2,1.163,100,8.33,rain,0.0,0.0,28.1,22.7,245.0,1015.6,66.5,11.8,564.6,48.9,8,2021-08-10T05:48:19,2021-08-10T20:42:04,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,3
222,2021-08-11,4.0,20.1,11.9,15.9,20.1,11.9,15.9,13.2,84.5,0.208,100,4.17,rain,0.0,0.0,37.1,22.1,195.0,1017.7,83.2,11.4,482.6,41.7,5,2021-08-11T05:49:53,2021-08-11T20:40:11,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,4
223,2021-08-12,2.0,19.0,12.3,15.4,19.0,12.3,15.4,13.6,89.1,1.747,100,25.0,rain,0.0,0.0,34.7,19.8,228.4,1017.7,84.7,10.4,348.0,29.9,6,2021-08-12T05:51:27,2021-08-12T20:38:16,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,5
224,2021-08-13,3.0,19.1,13.0,15.7,19.1,13.0,15.7,13.4,86.6,0.386,100,12.5,rain,0.0,0.0,31.6,21.6,234.1,1020.7,85.2,11.1,270.2,23.4,6,2021-08-13T05:53:01,2021-08-13T20:36:20,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,6
225,2021-08-14,1.0,22.0,14.9,17.5,22.0,14.9,17.5,14.6,83.3,0.237,100,8.33,rain,0.0,0.0,37.4,17.5,209.5,1019.5,64.9,11.1,415.4,35.8,9,2021-08-14T05:54:36,2021-08-14T20:34:23,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,7
226,2021-08-15,2.0,19.0,14.2,16.0,19.0,14.2,16.0,14.0,87.9,0.827,100,12.5,rain,0.0,0.0,40.3,18.0,229.7,1013.7,84.4,10.8,385.0,33.1,4,2021-08-15T05:56:11,2021-08-15T20:32:25,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,8
227,2021-08-16,2.0,17.1,12.0,14.6,17.1,12.0,14.6,10.6,77.9,0.508,100,8.33,rain,0.0,0.0,46.4,25.8,289.1,1018.7,76.6,11.2,416.6,36.1,7,2021-08-16T05:57:46,2021-08-16T20:30:25,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,2
228,2021-08-17,3.0,18.0,13.0,15.4,18.0,13.0,15.4,12.6,83.5,0.0,0,0.0,,0.0,0.0,50.0,35.6,268.1,1021.3,76.1,11.5,418.7,36.4,7,2021-08-17T05:59:21,2021-08-17T20:28:24,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,3
229,2021-08-18,1.0,17.2,13.1,15.3,17.2,13.1,15.3,13.2,87.2,0.129,100,8.33,rain,0.0,0.0,34.6,29.3,261.2,1018.4,93.2,12.1,414.1,35.8,7,2021-08-18T06:00:56,2021-08-18T20:26:22,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,4
230,2021-08-19,1.0,18.4,12.1,15.0,18.4,12.1,15.0,12.4,84.8,3.405,100,12.5,rain,0.0,0.0,21.2,20.9,248.9,1014.5,94.3,12.3,384.1,33.1,4,2021-08-19T06:02:31,2021-08-19T20:24:20,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,5
231,2021-08-20,0.0,19.9,14.1,16.5,19.9,14.1,16.5,14.8,90.3,0.474,100,8.33,rain,0.0,0.0,19.8,13.5,205.9,1015.6,95.9,12.6,415.4,35.8,5,2021-08-20T06:04:06,2021-08-20T20:22:16,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,6
232,2021-08-21,2.0,19.8,15.1,16.4,19.8,15.1,16.4,15.1,92.5,13.712,100,41.67,rain,0.0,0.0,19.8,19.8,159.0,1014.8,87.6,11.3,355.3,30.8,5,2021-08-21T06:05:42,2021-08-21T20:20:11,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,7
233,2021-08-22,1.0,20.0,14.0,16.4,20.0,14.0,16.4,14.1,86.8,2.209,100,12.5,rain,0.0,0.0,27.0,23.8,270.8,1020.1,64.4,13.0,476.2,41.1,8,2021-08-22T06:07:17,2021-08-22T20:18:05,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,8
234,2021-08-23,3.0,18.5,13.0,15.8,18.5,13.0,15.8,13.0,83.8,0.0,0,0.0,,0.0,0.0,25.6,16.5,25.8,1028.1,66.9,11.8,426.5,36.9,3,2021-08-23T06:08:52,2021-08-23T20:15:58,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,2
235,2021-08-24,0.0,21.1,12.1,15.9,21.1,12.1,15.9,11.5,76.6,0.0,0,0.0,,0.0,0.0,34.3,26.6,52.1,1029.7,51.6,12.5,509.2,44.0,8,2021-08-24T06:10:28,2021-08-24T20:13:51,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,3
236,2021-08-25,1.0,19.0,13.0,15.5,19.0,13.0,15.5,12.0,80.4,0.064,100,4.17,rain,0.0,0.0,32.4,20.6,39.6,1026.2,76.2,13.0,471.3,40.6,8,2021-08-25T06:12:03,2021-08-25T20:11:43,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,4
237,2021-08-26,2.0,20.8,13.1,16.3,20.8,13.1,16.3,11.9,77.0,0.0,0,0.0,,0.0,0.0,29.9,18.4,23.2,1022.8,58.5,10.8,483.2,41.7,8,2021-08-26T06:13:39,2021-08-26T20:09:33,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,5
238,2021-08-27,2.0,16.1,9.9,13.3,16.1,8.4,13.1,9.2,76.6,0.0,0,0.0,,0.0,0.0,24.1,17.5,27.0,1024.3,68.4,12.9,389.8,33.8,3,2021-08-27T06:15:14,2021-08-27T20:07:24,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,6
239,2021-08-28,0.0,19.1,10.7,14.7,19.1,10.7,14.7,10.5,77.5,0.0,0,0.0,,0.0,0.0,28.4,16.6,28.7,1026.7,67.8,11.8,447.0,38.6,6,2021-08-28T06:16:50,2021-08-28T20:05:13,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,7
240,2021-08-29,1.0,18.0,11.4,14.8,18.0,11.4,14.8,10.3,75.1,0.0,0,0.0,,0.0,0.0,31.6,22.1,30.9,1026.0,66.4,11.8,413.0,35.7,4,2021-08-29T06:18:25,2021-08-29T20:03:02,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,8
241,2021-08-30,3.0,16.1,13.0,14.1,16.1,13.0,14.1,10.5,79.0,0.0,0,0.0,,0.0,0.0,30.6,21.5,39.1,1026.8,99.3,12.9,346.9,29.8,3,2021-08-30T06:20:00,2021-08-30T20:00:50,0.75,Overcast,Cloudy skies throughout the day.,cloudy,2
242,2021-08-31,2.0,15.3,12.2,13.9,15.3,12.2,13.9,11.4,84.9,0.0,0,0.0,,0.0,0.0,27.7,20.4,39.1,1029.8,99.0,13.2,324.8,27.9,3,2021-08-31T06:21:36,2021-08-31T19:58:37,0.79,Overcast,Cloudy skies throughout the day.,cloudy,3
243,2021-09-01,2.0,16.1,12.2,14.3,16.1,12.2,14.3,10.7,78.9,0.0,0,0.0,,0.0,0.0,32.8,21.6,41.4,1031.2,99.3,12.3,316.2,27.3,4,2021-09-01T06:23:11,2021-09-01T19:56:24,0.82,Overcast,Cloudy skies throughout the day.,cloudy,4
244,2021-09-02,1.0,17.0,13.1,14.7,17.0,13.1,14.7,10.8,77.4,0.0,0,0.0,,0.0,0.0,40.7,28.1,46.2,1028.0,98.1,11.4,345.0,29.7,3,2021-09-02T06:24:46,2021-09-02T19:54:10,0.85,Overcast,Cloudy skies throughout the day.,cloudy,5
245,2021-09-03,2.0,20.1,13.5,16.2,20.1,13.5,16.2,11.2,73.2,0.0,0,0.0,,0.0,0.0,29.2,17.5,56.9,1021.7,83.0,11.0,437.1,37.7,5,2021-09-03T06:26:22,2021-09-03T19:51:56,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,6
246,2021-09-04,1.0,20.8,12.8,16.1,20.8,12.8,16.1,12.2,79.4,0.0,0,0.0,,0.0,0.0,27.7,20.9,69.2,1018.4,56.7,10.2,490.3,42.4,7,2021-09-04T06:27:57,2021-09-04T19:49:42,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,7
247,2021-09-05,2.0,22.5,12.2,16.7,22.5,12.2,16.7,14.7,88.7,0.0,0,0.0,,0.0,0.0,20.5,15.3,79.7,1020.2,48.3,5.9,426.4,37.0,6,2021-09-05T06:29:32,2021-09-05T19:47:27,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,8
248,2021-09-06,1.0,26.1,14.9,20.6,26.1,14.9,20.6,16.5,79.0,0.0,0,0.0,,0.0,0.0,14.4,8.4,59.1,1023.0,16.0,7.7,477.6,41.5,6,2021-09-06T06:31:08,2021-09-06T19:45:11,0.98,Clear,Clear conditions throughout the day.,clear-day,2
249,2021-09-07,1.0,28.1,14.9,21.5,28.3,14.9,21.5,14.5,67.0,0.0,0,0.0,,0.0,0.0,29.9,20.3,102.6,1020.1,1.9,11.1,493.3,42.6,7,2021-09-07T06:32:43,2021-09-07T19:42:55,0.0,Clear,Clear conditions throughout the day.,clear-day,3
250,2021-09-08,2.0,24.3,15.3,19.9,24.3,15.3,19.9,14.4,71.5,0.404,100,12.5,rain,0.0,0.0,34.6,23.6,113.7,1011.9,37.9,11.4,392.3,34.1,6,2021-09-08T06:34:18,2021-09-08T19:40:39,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,4
251,2021-09-09,2.0,19.1,15.9,17.4,19.1,15.9,17.4,16.6,95.1,4.321,100,33.33,rain,0.0,0.0,37.4,15.1,169.6,1007.4,89.3,8.7,316.7,27.4,3,2021-09-09T06:35:54,2021-09-09T19:38:22,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,5
252,2021-09-10,3.0,18.2,16.1,16.8,18.2,16.1,16.8,15.9,94.9,1.336,100,20.83,rain,0.0,0.0,41.4,25.4,238.4,1010.3,94.2,9.9,341.5,29.3,4,2021-09-10T06:37:29,2021-09-10T19:36:05,0.12,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,6
253,2021-09-11,3.0,18.2,13.0,15.9,18.2,13.0,15.9,13.0,83.5,0.0,0,0.0,,0.0,0.0,33.1,27.6,253.9,1017.0,79.4,13.0,409.2,35.2,7,2021-09-11T06:39:04,2021-09-11T19:33:48,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,7
254,2021-09-12,0.0,18.2,10.8,15.0,18.2,10.8,15.0,11.5,80.1,0.0,0,0.0,,0.0,0.0,13.7,11.2,309.6,1019.0,60.7,13.2,256.1,22.1,5,2021-09-12T06:40:40,2021-09-12T19:31:31,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,8
255,2021-09-13,0.0,19.0,13.2,15.7,19.0,13.2,15.7,13.0,84.3,0.191,100,4.17,rain,0.0,0.0,29.2,17.8,95.3,1016.7,79.1,10.4,325.1,28.1,3,2021-09-13T06:42:15,2021-09-13T19:29:13,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,2
256,2021-09-14,2.0,16.2,13.2,14.5,16.2,13.2,14.5,13.8,96.1,6.518,100,37.5,rain,0.0,0.0,22.7,18.7,31.1,1012.4,88.1,7.3,268.4,23.2,2,2021-09-14T06:43:51,2021-09-14T19:26:55,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,3
257,2021-09-15,5.0,19.2,12.0,15.4,19.2,12.0,15.4,13.1,86.9,0.0,0,0.0,,0.0,0.0,23.8,16.4,299.7,1015.0,63.4,7.6,323.2,27.9,7,2021-09-15T06:45:26,2021-09-15T19:24:37,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,4
258,2021-09-16,5.0,20.0,12.9,15.7,20.0,12.9,15.7,13.1,85.4,0.0,0,0.0,,0.0,0.0,18.4,15.7,252.2,1017.5,59.0,10.0,439.4,38.2,6,2021-09-16T06:47:02,2021-09-16T19:22:19,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,5
259,2021-09-17,2.0,19.9,12.8,15.5,19.9,12.8,15.5,12.7,84.1,0.105,100,4.17,rain,0.0,0.0,29.5,21.9,170.7,1013.7,57.8,12.1,398.9,34.4,5,2021-09-17T06:48:37,2021-09-17T19:20:01,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,6
260,2021-09-18,7.0,20.3,12.3,16.1,20.3,12.3,16.1,13.8,86.9,0.709,100,8.33,rain,0.0,0.0,27.7,12.9,131.9,1013.2,68.4,10.0,422.5,36.5,6,2021-09-18T06:50:13,2021-09-18T19:17:43,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,7
261,2021-09-19,4.0,18.0,12.1,14.8,18.0,12.1,14.8,11.7,82.3,1.962,100,29.17,rain,0.0,0.0,29.5,23.4,276.0,1015.2,78.4,12.8,357.3,30.8,4,2021-09-19T06:51:49,2021-09-19T19:15:24,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,8
262,2021-09-20,3.0,19.1,8.9,13.9,19.1,7.5,13.7,9.7,77.6,0.0,0,0.0,,0.0,0.0,31.0,16.7,330.8,1024.1,17.7,13.2,430.7,37.3,6,2021-09-20T06:53:25,2021-09-20T19:13:06,0.48,Clear,Clear conditions throughout the day.,clear-day,2
